word,emotion,polarity,social,moral,motion_self,thought,color,taste_smell,tactile,visual_form,auditory,space,quantity,time
translation,3.17,3.03,3.7,2.55,2.4,4.88,1.6,1.64,1.8,2.1,4.0,2.34,2.67,2.8
traveler,2.0,3.8,3.62,3.23,4.5,4.0,2.5,2.82,2.5,4.9,3.2,4.86,2.3,4.2
tree,2.59,4.09,2.06,1.58,2.2,1.88,5.4,3.82,4.8,6.4,3.6,3.91,3.94,2.6
truck,1.93,2.85,2.06,1.68,2.6,1.59,3.0,4.0,4.7,6.3,4.6,2.91,3.7,2.2
trumpet,2.44,2.17,1.25,1.7,1.4,3.67,3.9,1.73,5.5,5.9,5.92,2.54,2.3,2.3
trust,5.89,5.83,5.69,6.0,5.0,5.34,2.9,1.73,2.2,1.8,2.17,3.39,5.2,4.4
truth,5.48,5.52,4.58,6.26,3.3,5.53,1.8,1.64,1.9,1.6,2.9,3.44,4.33,3.24
tune,2.36,3.5,1.92,2.46,3.5,3.14,2.0,1.64,1.5,1.8,6.8,4.57,2.2,3.6
twig,1.63,2.3,1.77,2.38,1.3,1.57,2.7,2.73,4.0,6.0,2.6,3.43,2.8,1.7
typewriter,1.69,2.58,1.88,1.61,2.3,1.84,2.3,2.64,2.7,6.0,5.5,2.97,2.15,2.28
uncertainty,4.45,3.48,3.79,3.77,4.2,5.53,1.7,1.64,1.9,1.7,1.8,3.06,3.64,3.04
uncle,2.56,2.17,5.62,1.8,1.8,2.75,2.4,2.27,4.7,5.0,3.0,2.69,2.4,3.0
underworld,1.59,2.42,1.73,2.54,1.7,2.88,2.6,1.73,2.0,3.1,2.2,3.33,3.14,2.78
uniform,3.0,2.83,2.0,2.5,2.4,3.17,3.4,1.73,5.3,5.7,2.08,4.23,2.3,3.3
unit,2.66,2.64,3.27,2.26,1.8,1.94,1.8,1.64,1.8,3.5,1.5,3.06,4.79,4.72
unity,4.83,4.27,5.73,4.26,2.9,4.38,2.1,2.0,1.6,1.7,1.8,3.0,3.97,3.88
university,2.34,4.79,4.48,2.71,2.0,5.75,1.9,2.18,1.4,4.3,3.3,5.09,4.82,3.36
value,3.45,4.7,2.46,4.61,4.3,4.93,2.4,1.64,1.4,1.8,1.2,4.5,4.2,4.7
vapor,1.73,2.4,1.84,2.23,1.6,3.0,3.0,4.55,2.3,4.2,2.2,3.57,2.8,2.8
variety,2.79,3.79,3.12,2.52,2.1,3.53,2.9,1.64,2.0,2.3,2.1,3.06,5.06,3.64
verse,2.82,2.6,2.08,2.61,2.2,3.57,2.3,1.64,1.7,2.4,4.8,3.65,2.5,4.6
victim,3.64,4.6,4.77,3.23,2.3,3.0,1.8,2.09,3.0,3.9,2.8,2.36,1.6,2.3
view,2.18,4.1,3.08,4.23,2.6,5.14,3.0,1.73,2.2,2.4,1.5,4.72,3.3,3.9
vision,3.18,3.8,2.38,4.0,3.4,5.79,3.0,1.64,1.9,2.4,1.3,4.5,2.9,3.2
visitor,2.64,3.4,4.77,3.31,1.9,2.5,1.9,3.18,3.1,4.6,3.2,3.5,1.8,4.0
vocabulary,2.86,3.94,3.36,2.39,4.9,4.94,1.9,1.64,2.4,1.7,3.2,2.78,4.73,3.32
volcano,2.48,3.18,1.73,2.03,1.1,1.59,4.8,3.73,3.3,6.1,5.3,4.59,4.91,2.28
volt,2.18,2.9,1.92,2.23,2.3,2.43,2.4,1.64,2.2,2.1,3.5,3.15,3.9,3.4
volume,2.27,3.6,1.69,2.53,2.5,2.93,2.0,1.64,1.6,2.6,4.1,4.57,6.4,4.6
wage,2.18,4.2,2.39,3.38,2.5,3.43,2.1,1.64,1.8,1.6,1.2,4.36,4.5,4.5
wallet,2.38,3.64,2.3,2.29,2.0,1.69,3.0,3.64,5.3,6.0,2.4,3.41,3.12,2.08
want,5.33,4.92,3.19,3.9,3.5,5.42,2.1,1.82,2.2,1.9,1.92,3.54,4.2,4.1
waste,2.17,3.27,1.66,2.25,2.1,2.94,2.2,5.45,3.0,3.7,1.8,3.39,4.0,3.13
water,2.33,3.58,1.87,2.4,2.2,3.33,4.9,3.73,5.7,5.9,5.83,3.54,4.7,3.7
wave,3.11,2.66,2.56,2.1,2.6,3.84,3.2,2.09,4.9,5.9,5.33,4.0,3.5,3.7
weather,2.0,4.5,2.08,2.92,3.3,3.36,3.0,4.18,4.1,4.1,4.7,4.72,3.1,4.6
weight,2.45,3.4,2.23,2.69,4.2,3.0,1.6,1.64,3.5,3.7,1.5,4.36,5.7,4.8
willingness,4.97,4.36,4.24,4.61,3.9,5.09,1.9,1.64,1.7,1.8,1.9,3.25,4.06,2.96
window,2.1,2.85,1.97,1.65,1.8,2.22,3.1,2.64,4.8,6.0,2.8,3.94,3.33,2.0
winter,2.3,4.25,1.67,2.93,2.6,2.25,4.3,3.91,4.2,3.7,3.0,4.5,3.6,6.0
wisdom,4.41,5.58,4.45,5.48,4.8,6.09,1.7,1.64,1.8,1.9,2.3,3.47,4.61,3.88
wish,4.54,4.3,2.77,3.08,3.4,4.93,2.1,1.91,1.4,1.7,1.8,4.72,2.1,4.0
witness,2.91,3.2,4.31,2.69,3.1,4.28,2.2,2.0,2.4,3.5,3.6,3.58,1.9,3.1
wolf,2.45,3.42,1.58,1.65,1.5,1.72,4.1,3.36,4.6,6.1,5.6,2.72,2.45,1.64
woman,3.97,4.7,4.79,2.55,3.3,2.84,3.2,4.36,3.8,5.2,4.2,3.28,2.97,2.08
wood,2.11,1.92,1.63,1.6,1.8,2.59,4.5,4.36,6.0,6.1,3.0,2.39,3.0,3.0
worry,5.54,4.4,3.54,3.84,4.4,5.07,2.0,1.45,2.3,1.8,2.2,3.14,2.3,3.5
writing,3.46,4.3,2.77,3.0,4.5,4.86,2.6,1.91,3.4,4.0,3.7,4.29,2.7,4.5
youth,3.64,4.5,3.0,3.15,3.0,3.07,2.4,2.64,2.1,4.0,2.8,4.36,2.5,5.8
zoo,2.48,3.61,2.12,1.55,1.5,2.84,3.1,4.73,4.0,5.2,6.3,5.28,3.55,1.84
